TT,AN,AP,AR,AS,BR,CH,CT,DN,DD,DL,GA,GJ,HR,HP,JK,JH,KA,KL,LA,LD,MP,MH,MN,ML,MZ,NL,OR,PY,PB,RJ,SK,TN,TG,TR,UP,UT,WB,UN
424,0,67,0,15,3,2,0,0,0,32,0,13,0,0,7,0,9,24,0,0,32,33,0,0,0,0,1,2,4,27,0,110,30,0,13,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0
16,0,1,0,0,0,0,0,0,0,0,0,0,10,0,1,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8147,0,172,18,161,141,6,49,1,0,1022,2,436,265,9,162,26,196,81,0,0,226,2391,12,1,0,0,157,11,42,296,0,1272,124,107,299,52,271,139
210,0,2,0,0,0,0,0,0,0,50,0,25,1,0,3,0,1,1,0,0,9,79,0,0,0,0,0,0,-1,5,0,11,9,0,7,0,8,0
3898,0,35,0,99,221,15,7,0,0,268,6,861,17,2,20,40,101,20,0,0,161,779,0,0,0,0,120,0,13,181,0,413,63,0,187,120,149,0
10543,0,232,18,161,182,20,52,1,0,1245,2,762,283,9,187,29,220,81,0,0,316,3399,12,1,0,0,168,11,147,378,0,1475,130,107,416,52,308,139
287,0,4,0,0,1,0,0,0,0,52,0,47,1,0,3,0,1,1,0,0,17,105,0,0,0,0,0,0,-1,9,0,12,9,0,9,1,16,0
4860,0,117,0,103,235,15,7,0,0,341,6,984,23,4,51,42,123,29,0,0,203,885,0,10,0,0,134,0,17,404,0,467,85,0,290,121,164,0
11029,0,270,19,161,187,21,52,1,0,1386,2,763,289,12,195,30,234,102,0,0,325,3487,13,1,0,0,168,13,148,391,0,1550,157,107,427,55,324,139
301,0,4,0,0,1,0,0,0,0,54,0,48,1,0,3,0,1,1,0,0,19,113,0,0,0,0,0,0,0,9,0,12,9,0,9,1,16,0
4882,0,117,0,103,238,15,8,0,0,343,6,989,23,4,52,42,125,31,0,0,203,888,0,10,0,0,134,0,17,404,0,467,88,0,290,121,164,0
19841,0,385,21,235,338,25,67,1,0,2684,8,1178,585,17,312,91,622,188,4,0,462,5774,19,3,12,6,309,13,189,664,0,2641,256,155,795,139,720,923
523,0,4,0,0,2,1,1,0,0,87,0,77,3,0,5,0,1,2,1,0,25,216,0,0,0,0,0,0,2,13,0,25,13,0,16,3,26,0
9413,0,157,0,156,300,15,17,0,0,840,13,2103,37,22,59,42,200,50,0,0,421,2113,3,10,0,0,214,0,34,626,0,1003,123,0,436,151,268,0
22405,0,447,21,235,353,31,67,1,0,3068,8,1511,604,17,339,93,634,190,5,0,535,6564,19,3,12,6,315,14,376,770,0,2872,273,157,954,141,847,923
615,0,4,0,0,3,1,1,0,0,90,0,103,4,0,5,0,4,2,1,0,31,252,0,0,0,0,0,0,2,19,0,26,14,0,17,3,33,0
10244,10,195,0,156,319,16,17,0,0,929,13,2263,38,25,66,43,220,58,0,0,521,2234,3,10,0,0,215,0,38,752,0,1032,158,0,480,153,280,0
22965,0,462,21,242,355,31,67,1,0,3161,9,1518,613,17,344,93,638,199,6,0,582,6628,19,3,12,6,330,14,382,816,0,2974,348,157,1000,147,847,923
629,0,5,0,0,3,1,1,0,0,92,0,105,4,1,5,0,5,2,1,0,31,257,0,0,0,0,0,0,2,19,0,26,16,0,17,3,33,0
10282,10,195,0,156,319,16,17,0,0,929,13,2263,38,25,66,43,220,72,0,0,521,2242,3,10,0,0,216,0,38,752,0,1032,173,0,480,153,280,0
32654,0,642,31,513,585,31,131,9,0,4674,56,2003,915,31,483,135,905,281,15,0,750,9188,38,6,13,15,473,25,416,1095,1,4260,477,308,1141,189,1187,1632
888,0,9,0,0,4,1,1,0,0,151,0,135,4,1,6,0,6,2,1,0,38,379,0,0,0,0,0,0,3,25,0,34,23,0,18,4,43,0
14071,10,245,0,232,541,16,57,0,0,1228,13,2581,58,35,120,44,331,96,1,0,745,3238,27,11,0,0,307,8,50,1061,0,1642,203,0,561,160,450,0
35606,0,700,31,513,621,34,145,9,0,5101,56,2377,981,31,518,135,918,281,34,0,799,9866,38,6,13,15,475,25,746,1209,1,4526,498,320,1299,190,1463,1632
1028,0,9,0,0,4,2,1,0,0,151,0,163,4,1,6,0,6,2,1,0,43,406,0,0,0,0,0,0,4,28,0,35,23,0,18,4,117,0
14982,16,292,0,232,548,16,57,0,0,1334,13,2727,61,36,153,49,353,97,1,0,919,3353,27,11,0,0,311,9,55,1175,0,1680,249,0,617,160,431,0
36185,0,728,31,516,622,34,146,9,0,5160,57,2390,1007,38,535,135,934,292,34,0,824,10014,38,6,13,15,476,25,758,1236,1,4600,541,320,1359,196,1463,1632
1041,0,9,0,0,4,2,1,0,0,151,0,164,4,1,6,0,6,2,1,0,46,412,0,0,0,0,0,0,4,29,0,37,23,0,18,4,117,0
15038,16,292,0,232,548,19,57,0,0,1342,13,2730,62,36,153,49,353,105,1,0,919,3355,27,11,0,0,311,9,57,1197,0,1682,250,0,621,160,431,0
46032,0,869,36,801,748,35,293,12,0,6519,97,2882,1334,62,820,198,1191,386,38,0,998,12947,54,6,16,37,566,34,797,1446,1,5984,668,344,1726,264,1831,1992
1315,0,12,0,0,7,2,1,0,0,195,0,197,5,1,7,1,10,5,1,0,52,535,0,0,0,0,0,0,4,33,0,52,29,0,33,6,127,0
19428,16,357,0,278,643,27,93,0,0,1698,13,3185,96,65,194,118,459,144,1,0,1111,4707,27,11,0,0,376,13,71,1557,0,2267,281,0,803,198,619,0
49688,0,936,36,801,759,40,294,12,0,6868,97,3258,1409,63,845,198,1228,386,38,0,1103,14514,54,6,16,37,573,34,927,1621,1,6511,671,357,1847,264,1892,1992
1418,0,12,0,0,7,2,1,0,0,195,0,226,6,1,7,1,12,5,1,0,61,570,0,0,0,0,0,0,6,39,0,53,29,0,40,6,138,0
20510,16,393,0,278,646,29,93,0,0,1767,13,3338,105,65,210,118,487,205,1,0,1169,5057,27,11,0,0,376,13,82,1639,0,2297,321,0,851,198,705,0
50297,0,1000,36,801,759,40,294,12,0,6926,97,3278,1415,64,859,199,1235,394,38,0,1117,14626,54,6,16,37,591,34,930,1681,1,6597,733,357,1891,268,1919,1992
1440,0,12,0,0,7,2,1,0,0,196,0,227,6,1,7,1,12,5,1,0,63,583,0,0,0,0,0,0,8,39,0,55,29,0,41,6,138,0
20553,16,396,0,278,646,31,98,0,0,1767,13,3346,105,65,211,118,488,211,1,0,1172,5061,27,11,0,0,376,13,83,1639,0,2297,321,0,851,200,712,0
59769,0,1138,40,929,905,47,384,12,0,8256,127,3788,1731,74,1041,294,1750,505,41,0,1351,17062,62,6,23,64,721,39,976,1903,2,8035,876,405,2387,330,2346,2119
1726,0,14,0,0,8,2,1,0,0,245,0,262,6,1,8,2,12,5,1,0,70,722,0,0,0,0,1,0,9,44,0,67,37,0,53,7,149,0
25323,16,432,0,328,759,82,123,0,0,2184,21,3690,191,75,249,187,571,233,1,0,1413,6527,27,11,0,0,499,19,109,1894,0,3158,361,0,1060,247,856,0
62740,0,1205,40,931,912,64,385,13,0,8462,127,4229,1762,75,1056,304,1772,508,41,0,1458,18046,62,6,23,64,729,39,1195,2000,2,8543,887,418,2501,331,2431,2119
