Date,Status,TT,AN,AP,AR,AS,BR,CH,CT,DN,DD,DL,GA,GJ,HR,HP,JK,JH,KA,KL,LA,LD,MP,MH,MN,ML,MZ,NL,OR,PY,PB,RJ,SK,TN,TG,TR,UP,UT,WB,UN
2020-03-14,Confirmed,81,0,1,0,0,0,0,0,0,0,7,0,0,14,0,2,0,6,19,0,0,0,14,0,0,0,0,0,0,1,3,0,1,1,0,12,0,0,0
2020-03-14,Deceased,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-14,Recovered,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0
2020-03-15,Confirmed,108,0,1,0,0,0,0,0,0,0,7,0,0,14,0,2,0,6,24,0,0,0,32,0,0,0,0,0,0,1,4,0,1,3,0,13,0,0,0
2020-03-15,Deceased,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-15,Recovered,13,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,4,0,0,0
2020-03-16,Confirmed,123,0,1,0,0,0,0,0,0,0,7,0,0,14,0,3,0,7,27,0,0,0,38,0,0,0,0,1,1,1,4,0,1,4,0,13,1,0,0
2020-03-16,Deceased,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-16,Recovered,14,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,4,0,0,0
2020-03-17,Confirmed,134,0,1,0,0,0,0,0,0,0,8,0,0,15,0,3,0,9,27,0,0,0,41,0,0,0,0,1,1,1,4,0,1,5,0,15,1,1,0
2020-03-17,Deceased,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-17,Recovered,15,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,5,0,0,0
2020-03-18,Confirmed,171,0,1,0,0,0,0,0,0,0,10,0,0,16,0,4,0,14,27,8,0,0,44,0,0,0,0,2,1,2,7,0,2,13,0,17,2,1,0
2020-03-18,Deceased,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-18,Recovered,15,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,5,0,0,0
2020-03-19,Confirmed,198,0,3,0,0,0,1,1,0,0,14,0,2,17,0,4,0,15,28,8,0,0,48,0,0,0,0,2,1,2,9,0,3,16,0,20,3,1,0
2020-03-19,Deceased,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-03-19,Recovered,20,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,9,0,0,0
2020-03-20,Confirmed,256,0,3,0,0,0,5,1,0,0,20,0,7,19,2,4,0,15,40,10,0,4,52,0,0,0,0,2,1,3,17,0,3,19,0,24,3,2,0
2020-03-20,Deceased,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-03-20,Recovered,23,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,9,0,0,0
2020-03-21,Confirmed,334,0,5,0,0,0,5,1,0,0,27,0,14,21,2,4,0,20,52,13,0,4,64,0,0,0,0,2,1,13,24,0,6,21,0,28,3,4,0
2020-03-21,Deceased,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-03-21,Recovered,23,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,9,0,0,0
2020-03-22,Confirmed,401,0,6,0,0,2,6,1,0,0,27,0,18,21,2,4,0,26,67,13,0,6,74,0,0,0,0,2,1,21,28,0,9,27,0,30,3,7,0
2020-03-22,Deceased,7,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-03-22,Recovered,23,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,9,0,0,0
2020-03-23,Confirmed,503,0,7,0,0,3,7,1,0,0,30,0,30,28,3,4,0,33,95,13,0,6,97,0,0,0,0,2,1,23,32,0,12,33,0,32,4,7,0
2020-03-23,Deceased,9,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2020-03-23,Recovered,35,0,0,0,0,0,0,0,0,0,5,0,0,11,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,9,0,0,0
2020-03-24,Confirmed,567,0,8,0,0,3,7,1,0,0,30,0,34,30,3,6,0,41,109,13,0,7,107,1,0,0,0,2,1,29,32,0,18,37,0,35,4,9,0
2020-03-24,Deceased,10,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
2020-03-24,Recovered,40,0,0,0,0,0,0,0,0,0,6,0,0,11,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,11,0,0,0
2020-03-25,Confirmed,657,0,10,0,0,4,7,3,0,0,35,3,38,31,3,11,0,51,118,13,0,15,122,1,0,1,0,2,1,31,38,0,26,41,0,38,5,9,0
2020-03-25,Deceased,11,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
